title,property_type,location,price,bedrooms,bathrooms,toilets,added_date,updated_date,city,price_per_bedroom,price_category,month_posted,property_category
6 unit of 6 bedroom semi detached duplex with bq,6 unit of 6 bedroom semi detached duplex with bq/house for sale,close to ecobank jabi abuja,3500000000.0,,,,2025-08-29,11 Nov 2025,Abuja,,High,2025-08,semi detached duplex
luxurious 4 bedroom detached duplex with bq/pool,luxurious 4 bedroom detached duplex with bq/pool/house for sale,"close to sunnyvale estate, galadinmawa abuja",480000000.0,5.0,5.0,,2025-10-15,11 Nov 2025,Abuja,96000000.0,High,2025-10,detached duplex
contemporary 4 bedroom fully detached duplex,contemporary 4 bedroom fully detached duplex/house for sale,ajah lekki lagos,280000000.0,4.0,4.0,,2025-10-31,11 Nov 2025,Lagos,70000000.0,High,2025-10,fully detached
luxurious 5 bedroom detached duplex with bq,luxurious 5 bedroom detached duplex with bq/house for sale,"close to fairview school, guzape abuja",2500000000.0,5.0,5.0,,2025-10-05,11 Nov 2025,Abuja,500000000.0,High,2025-10,detached duplex
4 bedroom terraced duplex with bq,4 bedroom terraced duplex with bq/house for sale,close to nnpc guzape abuja,350000000.0,4.0,4.0,,2025-09-09,11 Nov 2025,Abuja,87500000.0,High,2025-09,terraced duplex
luxurious 4 bedroom terraced duplex with bq,luxurious 4 bedroom terraced duplex with bq/house for sale,main katampe main abuja,285000000.0,4.0,4.0,,2025-10-15,11 Nov 2025,Abuja,71250000.0,High,2025-10,terraced duplex
"1unit 3bedroom 4units 2bedroom 2units 1bedroom, +bq","1unit 3bedroom 4units 2bedroom 2units 1bedroom, +bq/house for sale",zone4 wuse 1 abuja,750000000.0,,,,2025-08-07,11 Nov 2025,Abuja,,High,2025-08,house
4 bedroom semi detached duplex with bq,4 bedroom semi detached duplex with bq/house for sale,"close to sunnyvell, lokogoma abuja",260000000.0,4.0,4.0,,2025-08-02,11 Nov 2025,Abuja,65000000.0,High,2025-08,semi detached duplex
5 bedroom duplex,5 bedroom duplex/house for sale,diplomatic zone katampe ext abuja,350000000.0,,,,2025-09-16,11 Nov 2025,Abuja,,High,2025-09,house
2 units of 7 bedroom detached duplex,2 units of 7 bedroom detached duplex/house for sale,lake chad maitama abuja,4000000000.0,,,,2025-08-06,11 Nov 2025,Abuja,,High,2025-08,detached duplex
4 bedroom detached duplex with bq,4 bedroom detached duplex with bq/house for sale,diplomatic zone katampe ext abuja,350000000.0,4.0,4.0,,2025-07-02,11 Nov 2025,Abuja,87500000.0,High,2025-07,detached duplex
5 bedroom detached duplex with bq,5 bedroom detached duplex with bq/house for sale,national assembly by nepal junction apo abuja,240000000.0,5.0,5.0,,2025-09-12,11 Nov 2025,Abuja,48000000.0,High,2025-09,detached duplex
6units of 2 bedroom flats,6units of 2 bedroom flats/house for sale,national assembly quarters zone a apo abuja,900000000.0,,,,2025-07-24,11 Nov 2025,Abuja,,High,2025-07,flat/apartment
newly built 3 bedroom bungalow,newly built 3 bedroom bungalow/house for sale,centenary city enugu enugu,120000000.0,3.0,3.0,,2025-10-25,11 Nov 2025,Enugu,40000000.0,High,2025-10,bungalow
newly built 4 bedroom terraced duplex with bq,newly built 4 bedroom terraced duplex with bq/house for sale,gudu apo abuja,245000000.0,4.0,4.0,,2025-10-15,11 Nov 2025,Abuja,61250000.0,High,2025-10,terraced duplex
4 bedroom semi detached duplex,4 bedroom semi detached duplex/house for sale,opposite suncity galadinmawa abuja,330000000.0,5.0,5.0,,2025-09-05,11 Nov 2025,Abuja,66000000.0,High,2025-09,semi detached duplex
4 bedroom semi detached duplex with bq,4 bedroom semi detached duplex with bq/house for sale,close to farmers market maitama abuja,900000000.0,4.0,4.0,,2025-07-02,11 Nov 2025,Abuja,225000000.0,High,2025-07,semi detached duplex
5 units of 6 bedroom detached duplex with bq,5 units of 6 bedroom detached duplex with bq/house for sale,"close to vio office, mabushi abuja",3200000000.0,6.0,6.0,,2025-08-19,11 Nov 2025,Abuja,533333333.3333333,High,2025-08,detached duplex
6 bedroom detached duplex,6 bedroom detached duplex/house for sale,close to farmers market maitama abuja,2500000000.0,6.0,6.0,,2025-09-11,11 Nov 2025,Abuja,416666666.6666667,High,2025-09,detached duplex
4 bedroom flat,4 bedroom flat/house for sale,around game village kubwa abuja,130000000.0,4.0,4.0,,2025-06-25,11 Nov 2025,Abuja,32500000.0,High,2025-06,flat/apartment
3000sqm land,3000sqm land/land for sale,guzape abuja,850000000.0,,,,2025-08-26,11 Nov 2025,Abuja,,High,2025-08,land
house,house/house for sale,garki 2 abuja,9500000000.0,,,,2025-10-08,11 Nov 2025,Abuja,,High,2025-10,house
4 bedroom duplex with bq,4 bedroom duplex with bq/house for sale,off 7up olubadan avenue oluyole estate ibadan oyo,159000000.0,4.0,4.0,,2025-05-23,11 Nov 2025,Oyo,39750000.0,High,2025-05,house
6 units of 3 bedrooms flat,6 units of 3 bedrooms flat/house for sale,close to zarthet wuye abuja,650000000.0,,,,2025-08-28,12 Nov 2025,Abuja,,High,2025-08,flat/apartment
6 units of 2 bedroom block of flats,6 units of 2 bedroom block of flats/house for sale,close to zarthet wuye abuja,650000000.0,,,,2025-06-30,11 Nov 2025,Abuja,,High,2025-06,block of flats
4.40hactares of housing estate land,4.40hactares of housing estate land/land for sale,apo wasa apo abuja,550000000.0,,,,2025-10-15,11 Nov 2025,Abuja,,High,2025-10,land
4 bedroom semi detached duplex,4 bedroom semi detached duplex/house for sale,main katampe main abuja,200000000.0,4.0,5.0,,2025-09-28,11 Nov 2025,Abuja,50000000.0,High,2025-09,semi detached duplex
4 bedroom duplex caracas bq,4 bedroom duplex caracas bq/house for sale,lokogoma abuja,130000000.0,4.0,4.0,,2025-08-15,11 Nov 2025,Abuja,32500000.0,High,2025-08,house
newly built 4 bedroom terraced duplex with bq,newly built 4 bedroom terraced duplex with bq/house for sale,"gilmore, jahi abuja",250000000.0,4.0,4.0,,2025-10-15,11 Nov 2025,Abuja,62500000.0,High,2025-10,terraced duplex
12units of 5bedroom terraces +18units of 3bedroom,12units of 5bedroom terraces +18units of 3bedroom/house for sale,main life camp abuja,11500000000.0,,,,2025-07-15,11 Nov 2025,Abuja,,High,2025-07,house
6 units of 2 bedroom block flats,6 units of 2 bedroom block flats/house for sale,suncity galadinmawa abuja,270000000.0,,,,2025-06-26,11 Nov 2025,Abuja,,High,2025-06,flat/apartment
luxurious 4bedroom terraces with bq en suite,luxurious 4bedroom terraces with bq en suite/house for sale,close to nnpc guzape abuja,350000000.0,4.0,4.0,,2025-08-22,11 Nov 2025,Abuja,87500000.0,High,2025-08,house
distress cofo land size 9000sqm,distress cofo land size 9000sqm/land for sale,guzape bala guzape abuja,1000000000.0,,,,2025-08-07,11 Nov 2025,Abuja,,High,2025-08,land
distress 6units of 5bedrooms semi detached +sw pool,distress 6units of 5bedrooms semi detached +sw pool/house for sale,close to nnpc guzape abuja,2800000000.0,,,,2025-07-06,11 Nov 2025,Abuja,,High,2025-07,semi detached duplex
4 bedroom detached duplex with bq,4 bedroom detached duplex with bq/house for sale,thomas estate ajah lagos,90000000.0,4.0,5.0,,2025-10-29,11 Nov 2025,Lagos,22500000.0,High,2025-10,detached duplex
5 bedroom detached duplex +penthouse,5 bedroom detached duplex +penthouse/house for sale,main gwarinpa abuja,450000000.0,5.0,5.0,,2025-08-16,11 Nov 2025,Abuja,90000000.0,High,2025-08,detached duplex
distress 10 bedroom mansion with bq+1500sqm,distress 10 bedroom mansion with bq+1500sqm/house for sale,zarthet wuye abuja,950000000.0,10.0,10.0,,2025-08-10,11 Nov 2025,Abuja,95000000.0,High,2025-08,house
pre finished 3 bedroom flat,pre finished 3 bedroom flat/house for sale,main jabi abuja,85000000.0,3.0,3.0,,2025-10-15,11 Nov 2025,Abuja,28333333.333333332,High,2025-10,flat/apartment
5 bedroom semi duplex,5 bedroom semi duplex/house for sale,close to nnpc guzape abuja,3800000000.0,,,,2025-08-06,11 Nov 2025,Abuja,,High,2025-08,house
6 bedroom detached duplex with 2 bq,6 bedroom detached duplex with 2 bq/house for sale,"close to queen estate, gwarinpa abuja",410000000.0,5.0,5.0,,2025-09-03,11 Nov 2025,Abuja,82000000.0,High,2025-09,detached duplex
7 bedroom detached duplex,7 bedroom detached duplex/house for sale,close to united office asokoro abuja,2500000000.0,7.0,7.0,,2025-07-17,11 Nov 2025,Abuja,357142857.14285713,High,2025-07,detached duplex
5 bedroom detached duplex,5 bedroom detached duplex/house for sale,national assembly quarters zone c apo abuja,350000000.0,5.0,5.0,,2025-09-11,11 Nov 2025,Abuja,70000000.0,High,2025-09,detached duplex
plaza,plaza/commercial property for sale,on major road wuse 2 abuja,9000000000.0,,,,2025-09-30,11 Nov 2025,Abuja,,High,2025-09,plaza / complex / mall
newly built 4 bedroom terraced duplex with bq,newly built 4 bedroom terraced duplex with bq/house for sale,"close to old cbn, garki 2 abuja",240000000.0,4.0,4.0,,2025-10-15,11 Nov 2025,Abuja,60000000.0,High,2025-10,terraced duplex
7 units of 2 bedroom flat,7 units of 2 bedroom flat/house for sale,main mabushi abuja,500000000.0,,,,2025-09-26,11 Nov 2025,Abuja,,High,2025-09,flat/apartment
4 bedroom detached duplex with bq,4 bedroom detached duplex with bq/house for sale,lokogoma abuja,280000000.0,4.0,4.0,,2025-06-27,11 Nov 2025,Abuja,70000000.0,High,2025-06,detached duplex
2 units of 4 bedroom semi detached duplex with bq,2 units of 4 bedroom semi detached duplex with bq/house for sale,main gwarinpa abuja,550000000.0,,,,2025-09-28,11 Nov 2025,Abuja,,High,2025-09,semi detached duplex
new 4bedroom semi detached duplex with bq,new 4bedroom semi detached duplex with bq/house for sale,close to bannex katampe main abuja,250000000.0,4.0,4.0,,2025-10-15,11 Nov 2025,Abuja,62500000.0,High,2025-10,semi detached duplex
160 rooms,160 rooms/commercial property for sale,airport by presidential wing lugbe abuja,15000000000.0,,,,2025-09-22,11 Nov 2025,Abuja,,High,2025-09,commercial property
8 units of 3 bedrooms flats,8 units of 3 bedrooms flats/house for sale,close to zarthet wuye abuja,1100000000.0,,,,2025-09-01,11 Nov 2025,Abuja,,High,2025-09,flat/apartment
8 bedroom flat,8 bedroom flat/house for sale,close to rita lori garki 2 abuja,650000000.0,8.0,8.0,,2025-08-14,11 Nov 2025,Abuja,81250000.0,High,2025-08,flat/apartment
9 bedroom mansion with 2 bq,9 bedroom mansion with 2 bq/house for sale,"efab metropolis, gwarinpa abuja",750000000.0,9.0,9.0,,2025-09-03,11 Nov 2025,Abuja,83333333.33333333,High,2025-09,house
3 units of 4 bedroom terraced duplex,3 units of 4 bedroom terraced duplex/house for sale,"close to vio office, wuye abuja",900000000.0,,,,2025-07-18,11 Nov 2025,Abuja,,High,2025-07,terraced duplex
6 bedroom detached duplex,6 bedroom detached duplex/house for sale,main life camp abuja,265000000.0,6.0,6.0,,2025-09-08,11 Nov 2025,Abuja,44166666.666666664,High,2025-09,detached duplex
5 bedroom detached duplex,5 bedroom detached duplex/house for sale,behind vio mabushi abuja,650000000.0,5.0,5.0,,2025-09-16,11 Nov 2025,Abuja,130000000.0,High,2025-09,detached duplex
modern 3 bedroom apartment with bq,modern 3 bedroom apartment with bq/flat / apartment for sale,adeniyi jones ikeja lagos,265000000.0,3.0,,,2025-10-16,11 Nov 2025,Lagos,88333333.33333333,High,2025-10,flat/apartment
newly built 5 bedroom detached duplex,newly built 5 bedroom detached duplex/house for sale,main lokogoma abuja,350000000.0,5.0,5.0,,2025-09-05,11 Nov 2025,Abuja,70000000.0,High,2025-09,detached duplex
9 bedroom mansion+2 room guesthouse,9 bedroom mansion+2 room guesthouse/house for sale,main maitama abuja,9000000000.0,9.0,9.0,,2025-09-10,11 Nov 2025,Abuja,1000000000.0,High,2025-09,house
6 bedroom fully detached duplex with 2 bq,6 bedroom fully detached duplex with 2 bq/house for sale,"zone 7 by nafdac, wuse 1 abuja",700000000.0,6.0,6.0,,2025-08-09,11 Nov 2025,Abuja,116666666.66666667,High,2025-08,fully detached
4 bedroom terraced duplex with bq,4 bedroom terraced duplex with bq/house for sale,main guzape abuja,220000000.0,4.0,4.0,,2025-06-15,11 Nov 2025,Abuja,55000000.0,High,2025-06,terraced duplex
2730sqm land,2730sqm land/land for sale,"very close to nnpc, guzape abuja",1500000000.0,,,,2025-09-17,11 Nov 2025,Abuja,,High,2025-09,land
newly built 4bedroom semi detached duplex with bq.,newly built 4bedroom semi detached duplex with bq./house for sale,main katampe main abuja,210000000.0,4.0,4.0,,2025-07-12,11 Nov 2025,Abuja,52500000.0,High,2025-07,semi detached duplex
4 bedroom terraced duplex with bq,4 bedroom terraced duplex with bq/house for sale,katampe main abuja,220000000.0,4.0,4.0,,2025-08-02,11 Nov 2025,Abuja,55000000.0,High,2025-08,terraced duplex
distress 4800sqm residential land,distress 4800sqm residential land/land for sale,main jahi abuja,900000000.0,,,,2025-07-15,11 Nov 2025,Abuja,,High,2025-07,land
5 bedroom terrace duplex with bq,5 bedroom terrace duplex with bq/house for sale,off ademola adetokumbo wuse 2 abuja,550000000.0,5.0,5.0,,2025-06-13,11 Nov 2025,Abuja,110000000.0,High,2025-06,house
new 8 bedroom mansion with 2 bq,new 8 bedroom mansion with 2 bq/house for sale,off ty danjuma asokoro abuja,4800000000.0,8.0,8.0,,2025-07-01,11 Nov 2025,Abuja,600000000.0,High,2025-07,house
land,land/land for sale,maitama 2 maitama abuja,130000000.0,,,,2025-07-29,11 Nov 2025,Abuja,,High,2025-07,land
3 bedroom terraced duplex with bq,3 bedroom terraced duplex with bq/house for sale,"close to minister's house, life camp abuja",100000000.0,3.0,3.0,,2025-09-15,11 Nov 2025,Abuja,33333333.333333332,High,2025-09,terraced duplex
distress 6units of 4 bedroom terrace duplex with bq,distress 6units of 4 bedroom terrace duplex with bq/house for sale,linder chucker crescent close to minister's house asokoro abuja,2200000000.0,,,,2025-10-03,11 Nov 2025,Abuja,,High,2025-10,house
600sqm land,600sqm land/land for sale,palm crescent badore ajah lagos,36000000.0,,,,2025-03-28,11 Nov 2025,Lagos,,Mid,2025-03,land
400sqm land,400sqm land/house for sale,"olapade agoro estate, oluyole ibadan oyo",35000000.0,,,,2025-02-06,11 Nov 2025,Oyo,,Mid,2025-02,land
land,land/land for sale,beside alaro city and opposite the lekki international airport ibeju lekki lagos,25000000.0,,,,2025-02-06,11 Nov 2025,Lagos,,Mid,2025-02,land
a full plot of land,a full plot of land/land for sale,ishefun ayobo ipaja lagos,24000000.0,,,,2025-02-05,11 Nov 2025,Lagos,,Mid,2025-02,land
2/3 bedroom bungalow carcass,2/3 bedroom bungalow carcass/house for sale,ofada mowe obafemi owode ogun,13500000.0,,,,2025-02-05,11 Nov 2025,Ogun,,Mid,2025-02,bungalow
"1,144sqm land","1,144sqm land/land for sale",ikeja lagos,8000000.0,,,,2025-02-18,11 Nov 2025,Lagos,,Low,2025-02,land
4 bedroom duplex with a studio room,4 bedroom duplex with a studio room/house for sale,ikolaba/agodi gra ibadan oyo,200000000.0,4.0,,,2025-02-06,11 Nov 2025,Oyo,50000000.0,High,2025-02,house
3 bedroom terraced duplex,3 bedroom terraced duplex/house for sale,"lekki aviation town, granville, majestic bay, & the parliament, ibeju lekki lagos",1812639.0,3.0,3.0,,2025-08-05,11 Nov 2025,Lagos,604213.0,Low,2025-08,terraced duplex
4 bedroom terraced duplex with bq,4 bedroom terraced duplex with bq/house for sale,"chois garden estate, abijo gra ajah lagos",100000000.0,4.0,,,2025-02-06,11 Nov 2025,Lagos,25000000.0,High,2025-02,terraced duplex
4 bedroom detached duplex,4 bedroom detached duplex/house for sale,opic isheri north ojodu lagos,190000000.0,4.0,,,2025-02-10,11 Nov 2025,Lagos,47500000.0,High,2025-02,detached duplex
4 bedroom duplex,4 bedroom duplex/house for sale,gbagada lagos,190000000.0,4.0,,,2025-09-12,11 Nov 2025,Lagos,47500000.0,High,2025-09,house
4 bedroom fully detached duplex with bq,4 bedroom fully detached duplex with bq/house for sale,ogba lagos,250000000.0,4.0,,,2025-09-10,11 Nov 2025,Lagos,62500000.0,High,2025-09,fully detached
500sqm land,500sqm land/land for sale,guzape abuja,220000000.0,,,,2025-02-06,11 Nov 2025,Abuja,,High,2025-02,land
2 bedroom semi detached bungalow,2 bedroom semi detached bungalow/house for sale,lugbe abuja,45000000.0,,,,2025-02-21,11 Nov 2025,Abuja,,Mid,2025-02,semi detached duplex
hotel,hotel/house for sale,ijesha surulere lagos,300000000.0,,,,2025-02-05,11 Nov 2025,Lagos,,High,2025-02,hotel / guest house
3/4 bedroom duplex,3/4 bedroom duplex/house for sale,"isheri, magodo phase 1 ojodu lagos",105000000.0,,,,2025-02-06,11 Nov 2025,Lagos,,High,2025-02,house
newly built 4 bedroom fully detached duplex,newly built 4 bedroom fully detached duplex/house for sale,sangotedo ajah lagos,9500000.0,4.0,4.0,,2025-10-11,11 Nov 2025,Lagos,2375000.0,Low,2025-10,fully detached
1/2/3 bedroom apartment,1/2/3 bedroom apartment/house for sale,abijo ajah lagos,60000000.0,,,,2025-02-05,11 Nov 2025,Lagos,,High,2025-02,flat/apartment
1 bedroom apartment,1 bedroom apartment/flat apartment for sale,sangotedo ajah lagos,45000000.0,1.0,,,2025-02-21,11 Nov 2025,Lagos,45000000.0,Mid,2025-02,flat/apartment
land,land/land for sale,ikola abule egba lagos,15000000.0,,,,2025-02-10,11 Nov 2025,Lagos,,Mid,2025-02,land
house,house/house for sale,ajasa command ipaja lagos,38000000.0,,,,2025-02-07,11 Nov 2025,Lagos,,Mid,2025-02,house
shop,shop/commercial property for sale,festac amuwo odofin lagos,25000000.0,,,,2025-02-20,11 Nov 2025,Lagos,,Mid,2025-02,shop
house,house/house for sale,buraimo street. obanikoro estate obanikoro maryland lagos,120000000.0,,,,2025-02-05,11 Nov 2025,Lagos,,High,2025-02,house
2 plots of land,2 plots of land/land for sale,akure ondo,90000000.0,,,,2025-02-18,11 Nov 2025,Ondo,,High,2025-02,land
2 units of 2 bedroom flat,2 units of 2 bedroom flat/house for sale,maya ikorodu lagos,17000000.0,,,,2025-02-05,11 Nov 2025,Lagos,,Mid,2025-02,flat/apartment
3 bedroom duplex,3 bedroom duplex/land for sale,"oke ira , off addo road ajah lagos",60000000.0,,,,2025-02-10,11 Nov 2025,Lagos,,High,2025-02,land
6 units of 3 bedroom flat,6 units of 3 bedroom flat/house for sale,governors road ikotun igando lagos,180000000.0,,,,2025-02-05,11 Nov 2025,Lagos,,High,2025-02,flat/apartment
5 bedroom fully detached duplex with bq,5 bedroom fully detached duplex with bq/house for sale,y nipco filling station along von/trademore road lugbe airport road lugbe abuja,205000000.0,5.0,,,2025-02-21,11 Nov 2025,Abuja,41000000.0,High,2025-02,fully detached
5 units of 3 bedroom flat,5 units of 3 bedroom flat/commercial property for sale,akure ondo,90000000.0,3.0,,,2025-02-18,11 Nov 2025,Ondo,30000000.0,High,2025-02,flat/apartment
4 bedroom fully detached duplex,4 bedroom fully detached duplex/house for sale,kolapo ishola gra ibadan oyo,180000000.0,4.0,,,2025-02-04,11 Nov 2025,Oyo,45000000.0,High,2025-02,fully detached
4 bedroom detached duplex with bq,4 bedroom detached duplex with bq/house for sale,opic ojodu lagos,170000000.0,4.0,,,2025-02-10,11 Nov 2025,Lagos,42500000.0,High,2025-02,detached duplex
4 bedroom massionnette,4 bedroom massionnette/house for sale,ikoyi lagos,2588400000.0,4.0,,,2025-09-10,11 Nov 2025,Lagos,647100000.0,High,2025-09,house
3 bedroom apartment,3 bedroom apartment/flat apartment for sale,yaba lagos,80000000.0,3.0,,,2025-02-11,11 Nov 2025,Lagos,26666666.666666668,High,2025-02,flat/apartment
land,land/land for sale,ibeju lekki lagos,21000000.0,,,,2025-02-10,11 Nov 2025,Lagos,,Mid,2025-02,land
4 bedroom terraced duplex with bq,4 bedroom terraced duplex with bq/house for sale,jabi abuja,130000000.0,4.0,,,2025-02-18,11 Nov 2025,Abuja,32500000.0,High,2025-02,terraced duplex
uncompleted 4 bedroom duplex,uncompleted 4 bedroom duplex/house for sale,maya ikorodu lagos,35000000.0,4.0,,,2025-02-05,11 Nov 2025,Lagos,8750000.0,Mid,2025-02,house
half plot of land,half plot of land/land for sale,ifako gbagada ogba lagos,30000000.0,,,,2025-02-06,11 Nov 2025,Lagos,,Mid,2025-02,land
land,land/land for sale,idera ibeju lekki lagos,21000000.0,,,,2025-02-10,11 Nov 2025,Lagos,,Mid,2025-02,land
land,land/land for sale,lakowe ibeju lekki lagos,19990000.0,,,,2025-02-06,11 Nov 2025,Lagos,,Mid,2025-02,land
1 & 3 bedroom apartments,1 & 3 bedroom apartments/house for sale,chevron lekki lagos,85000000.0,,,,2025-02-06,11 Nov 2025,Lagos,,High,2025-02,flat/apartment
2/3 bedroom apartment,2/3 bedroom apartment/house for sale,mowe ofada obafemi owode ogun,35500000.0,,,,2025-02-05,11 Nov 2025,Ogun,,Mid,2025-02,flat/apartment
950sqm land,950sqm land/land for sale,eden estate abraham adesanya estate ajah lagos,170000000.0,,,,2025-02-06,11 Nov 2025,Lagos,,High,2025-02,land
5 units of 2 bedroom flat,5 units of 2 bedroom flat/house for sale,akure ondo,55000000.0,5.0,,,2025-02-18,11 Nov 2025,Ondo,11000000.0,High,2025-02,flat/apartment
house,house/co working space for sale,akure ondo,80000000.0,4.0,,,2025-02-18,11 Nov 2025,Ondo,20000000.0,High,2025-02,house
6 units of mini flat,6 units of mini flat/house for sale,maya ikorodu lagos,32000000.0,,,,2025-02-05,11 Nov 2025,Lagos,,Mid,2025-02,mini flat
newly built 2 bedroom apartment,newly built 2 bedroom apartment/flat / apartment for sale,chevron tollgate lekki phase 2 lekki lagos,75000000.0,2.0,2.0,,2025-10-31,11 Nov 2025,Lagos,37500000.0,High,2025-10,flat/apartment
780sqm land,780sqm land/land for sale,kurudu abuja,7000000.0,,,,2025-02-07,11 Nov 2025,Abuja,,Low,2025-02,land
600sqm land,600sqm land/land for sale,beside oyinlola block industry akala express ibadan oyo,60000000.0,,,,2025-02-06,11 Nov 2025,Oyo,,High,2025-02,land
2 bedroom apartment with bq,2 bedroom apartment with bq/house for sale,lekki phase 1 lekki lagos,150000000.0,2.0,,,2025-02-21,11 Nov 2025,Lagos,75000000.0,High,2025-02,flat/apartment
4 bedroom terraced duplex with bq,4 bedroom terraced duplex with bq/flat apartment for sale,"felicity haven, jakande ajiran community lekki lagos",250000000.0,4.0,,,2025-02-12,11 Nov 2025,Lagos,62500000.0,High,2025-02,terraced duplex
4 bedroom bungalow,4 bedroom bungalow/house for sale,mowe ofada obafemi owode ogun,45000000.0,,,,2025-02-05,11 Nov 2025,Ogun,,Mid,2025-02,bungalow
4 bedroom semi detached duplex with 2 bedroom flat,4 bedroom semi detached duplex with 2 bedroom flat/house for sale,isheri north gra opic ojodu lagos,110000000.0,4.0,,,2025-02-10,11 Nov 2025,Lagos,27500000.0,High,2025-02,semi detached duplex
2 units of 4 bedroom semi detached duplex with bq,2 units of 4 bedroom semi detached duplex with bq/house for sale,lokogoma abuja,190000000.0,4.0,,,2025-02-18,11 Nov 2025,Abuja,47500000.0,High,2025-02,semi detached duplex
3 bedroom apartment,3 bedroom apartment/house for sale,surulere lagos,60000000.0,1.0,,,2025-04-28,11 Nov 2025,Lagos,60000000.0,High,2025-04,flat/apartment
5 units of 4 bedroom terraced duplex,5 units of 4 bedroom terraced duplex/house for sale,alalubosa ibadan oyo,100000000.0,4.0,,,2025-02-04,11 Nov 2025,Oyo,25000000.0,High,2025-02,terraced duplex
3 bedroom waterfront ikoyi apartment,3 bedroom waterfront ikoyi apartment/flat / apartment for sale,"royal palm drive, osborne forshore 2, osborne foreshore estate ikoyi lagos",735000000.0,3.0,4.0,,2025-06-18,11 Nov 2025,Lagos,245000000.0,High,2025-06,flat/apartment
5 bedroom fully detached duplex,5 bedroom fully detached duplex/house for sale,lekki county homes ikota lekki lagos,600000000.0,5.0,,,2025-02-07,11 Nov 2025,Lagos,120000000.0,High,2025-02,fully detached
2 bedroom flat,2 bedroom flat/flat apartment for sale,oniru victoria island lagos,470000000.0,2.0,,,2025-02-07,11 Nov 2025,Lagos,235000000.0,High,2025-02,flat/apartment
2/3 bedroom apartment,2/3 bedroom apartment/flat apartment for sale,lugbe abuja,30000000.0,3.0,,,2025-02-18,11 Nov 2025,Abuja,10000000.0,Mid,2025-02,flat/apartment
500sqm land,500sqm land/land for sale,ibeju lekki lagos,39000000.0,,,,2025-02-21,11 Nov 2025,Lagos,,Mid,2025-02,land
5 bedroom detached duplex with bq,5 bedroom detached duplex with bq/house for sale,"oladunni ayandipo street, new bodija ibadan oyo",180000000.0,5.0,,,2025-02-06,11 Nov 2025,Oyo,36000000.0,High,2025-02,detached duplex
4 bedroom fully detached duplex with bq,4 bedroom fully detached duplex with bq/house for sale,along von road lugbe abuja,160000000.0,5.0,,,2025-02-21,11 Nov 2025,Abuja,32000000.0,High,2025-02,fully detached
4 bedroom terraced duplex with bq,4 bedroom terraced duplex with bq/house for sale,ikota lekki lagos,90000000.0,,,,2025-02-05,11 Nov 2025,Lagos,,High,2025-02,terraced duplex
6 units of mini flats plus 4 shops,6 units of mini flats plus 4 shops/house for sale,maya ikorodu lagos,32000000.0,,,,2025-02-05,11 Nov 2025,Lagos,,Mid,2025-02,mini flat
house,house/house for sale,montego bay 3 extension ikate lekki lagos,250000000.0,,,,2025-02-06,11 Nov 2025,Lagos,,High,2025-02,house
newly built 5 bedroom detached house with pool,newly built 5 bedroom detached house with pool/house for sale,ikota lekki lagos,150000000.0,5.0,5.0,,2025-10-28,11 Nov 2025,Lagos,30000000.0,High,2025-10,house
3 bedroom duplex,3 bedroom duplex/house for sale,"richland garden, bogije off lekki epe expressway ibeju lekki lagos",75000000.0,,,,2025-02-10,11 Nov 2025,Lagos,,High,2025-02,house
land,land/land for sale,lugbe abuja,11900000.0,,,,2025-02-06,11 Nov 2025,Abuja,,Mid,2025-02,land
5 bedroom detached duplex,5 bedroom detached duplex/house for sale,pinnock beach estate lekki lagos,1500000000.0,5.0,,,2025-02-07,11 Nov 2025,Lagos,300000000.0,High,2025-02,detached duplex
land,land/land for sale,owode atan ado odo ota ogun,2500000.0,,,,2025-02-10,11 Nov 2025,Ogun,,Low,2025-02,land
2 bedroom home,2 bedroom home/house for sale,igbaja surulere lagos,100000000.0,2.0,,,2025-02-11,11 Nov 2025,Lagos,50000000.0,High,2025-02,house
22 bedroom hotel,22 bedroom hotel/commercial property for sale,ikorodu lagos,55000000.0,,,,2025-02-06,11 Nov 2025,Lagos,,High,2025-02,hotel / guest house
land,land/land for sale,idu abuja,8000000.0,,,,2025-02-06,11 Nov 2025,Abuja,,Low,2025-02,land
5 bedroom duplex,5 bedroom duplex/house for sale,ikoyi lagos,2500000000.0,5.0,5.0,,2025-05-12,11 Nov 2025,Lagos,500000000.0,High,2025-05,house
5 bedroom house with bq,5 bedroom house with bq/house for sale,mab global estate gwarinpa abuja,370000000.0,5.0,5.0,,2025-06-07,04 Sep 2025,Abuja,74000000.0,High,2025-06,house
5 bedroom duplex,5 bedroom duplex/house for sale,lekki phase 1 lekki lagos,1200000000.0,5.0,5.0,,2025-05-21,11 Nov 2025,Lagos,240000000.0,High,2025-05,house
3 bedroom apartment,3 bedroom apartment/flat apartment for sale,victoria island lagos,550000000.0,3.0,3.0,,2025-05-21,11 Nov 2025,Lagos,183333333.33333334,High,2025-05,flat/apartment
4 bedroom terrace duplex,4 bedroom terrace duplex/house for sale,ologolo lekki lagos,180000000.0,4.0,4.0,,2025-05-01,11 Nov 2025,Lagos,45000000.0,High,2025-05,house
5 bedroom detached duplex,5 bedroom detached duplex/house for sale,osapa london lekki lagos,300000000.0,5.0,5.0,,2025-05-01,11 Nov 2025,Lagos,60000000.0,High,2025-05,detached duplex
